ResponseId,Q,A.Code,B.Code,Winner,Loser
R_22P14vqjBcocmQt,916,Guacamole,Pulled pork,Pulled pork,Guacamole
R_27e4sDJjLhQldHU,918,Burrito,Crisps/chips,Crisps/chips,Burrito
R_YPOhTjyQRcO2nCh,918,Burrito,Crisps/chips,Crisps/chips,Burrito
R_24I7vRLU8vsU2NZ,919,Rice,Chips/fries,Chips/fries,Rice
R_2WYFT6lzUNiBSge,920,Peanuts,Banana,Peanuts,Banana
R_WqDgUBWdu4CGJK9,920,Peanuts,Banana,Banana,Peanuts
R_27e4sDJjLhQldHU,924,Roast chicken,Ice cream,Ice cream,Roast chicken
R_2BhV7cLPuQAVLqC,924,Roast chicken,Ice cream,Ice cream,Roast chicken
R_24I7vRLU8vsU2NZ,924,Roast chicken,Ice cream,Ice cream,Roast chicken
R_29uHV5SxIkUue0F,925,Yogurt,Carrot cake,Carrot cake,Yogurt
R_2BhV7cLPuQAVLqC,925,Yogurt,Carrot cake,Yogurt,Carrot cake
R_24I7vRLU8vsU2NZ,925,Yogurt,Carrot cake,Carrot cake,Yogurt
R_2BhV7cLPuQAVLqC,926,Onion rings,Raspberries,Onion rings,Raspberries
R_2WYFT6lzUNiBSge,927,Pancakes,Brownies,Pancakes,Brownies
R_22P14vqjBcocmQt,927,Pancakes,Brownies,Brownies,Pancakes
R_27e4sDJjLhQldHU,928,Sprouts,Dates,Dates,Sprouts
R_YPOhTjyQRcO2nCh,929,Dates,Sushi,Dates,Sushi
R_1QDV3ILOBfgzzTt,931,Apple pie,Falafel,Apple pie,Falafel
R_WqDgUBWdu4CGJK9,931,Apple pie,Falafel,Falafel,Apple pie
R_29uHV5SxIkUue0F,932,Peach,Blueberries,Blueberries,Peach
R_3P5NwddgGf4YWfk,932,Peach,Blueberries,Peach,Blueberries
R_YPOhTjyQRcO2nCh,932,Peach,Blueberries,Blueberries,Peach
R_1AI8UDadY9DFYVH,932,Peach,Blueberries,Peach,Blueberries
R_22P14vqjBcocmQt,933,Brocolli,Lamb,Lamb,Brocolli
R_1E7q3tAX7YA2OGS,933,Brocolli,Lamb,Lamb,Brocolli
R_2BhV7cLPuQAVLqC,935,Oysters,Crepes,Crepes,Oysters
R_24I7vRLU8vsU2NZ,935,Oysters,Crepes,Crepes,Oysters
R_WqDgUBWdu4CGJK9,936,Chips/fries,Cashew nuts,Chips/fries,Cashew nuts
R_1gcHUMJSMBDYK37,936,Chips/fries,Cashew nuts,Chips/fries,Cashew nuts
R_1E7q3tAX7YA2OGS,936,Chips/fries,Cashew nuts,Chips/fries,Cashew nuts
R_3P5NwddgGf4YWfk,936,Chips/fries,Cashew nuts,Cashew nuts,Chips/fries
R_27e4sDJjLhQldHU,937,Popcorn,Noodles,Noodles,Noodles
R_27e4sDJjLhQldHU,938,Raspberries,Butternut squash,Raspberries,Butternut squash
R_27e4sDJjLhQldHU,940,Carrot,Lamb,Carrot,Lamb
R_1QDV3ILOBfgzzTt,941,Cashew nuts,Pasta,Pasta,Cashew nuts
R_1E7q3tAX7YA2OGS,942,Cabbage,Coconut,Coconut,Cabbage
R_29uHV5SxIkUue0F,942,Cabbage,Coconut,Coconut,Cabbage
R_YPOhTjyQRcO2nCh,942,Cabbage,Coconut,Cabbage,Coconut
R_2WYFT6lzUNiBSge,943,Banana,Sweet potatoes,Sweet potatoes,Banana
R_2BhV7cLPuQAVLqC,945,Bacon,Peanuts,Bacon,Peanuts
R_24I7vRLU8vsU2NZ,946,Cheddar cheese,Courgette,Cheddar cheese,Courgette
R_27e4sDJjLhQldHU,946,Cheddar cheese,Courgette,Courgette,Cheddar cheese
R_2WYFT6lzUNiBSge,947,Scrambled egg,Mango,Mango,Scrambled egg
R_22P14vqjBcocmQt,947,Scrambled egg,Mango,Scrambled egg,Mango
R_1AI8UDadY9DFYVH,949,Carrot cake,Chocolate chip muffin,Chocolate chip muffin,Carrot cake
R_2BhV7cLPuQAVLqC,950,Donuts,Courgette,Donuts,Courgette
R_22P14vqjBcocmQt,950,Donuts,Courgette,Donuts,Courgette
R_YPOhTjyQRcO2nCh,950,Donuts,Courgette,Donuts,Courgette
R_3P5NwddgGf4YWfk,951,Bacon,Oysters,Bacon,Oysters
R_WqDgUBWdu4CGJK9,952,Milk,Bacon,Bacon,Milk
R_2BhV7cLPuQAVLqC,952,Milk,Bacon,Milk,Bacon
R_1QDV3ILOBfgzzTt,954,Coconut,Brocolli,Coconut,Brocolli
R_WqDgUBWdu4CGJK9,955,Onion,Burger,Burger,Onion
R_27e4sDJjLhQldHU,955,Onion,Burger,Burger,Burger
R_2WYFT6lzUNiBSge,955,Onion,Burger,Burger,Onion
R_27e4sDJjLhQldHU,957,Baked potato,Mango,Mango,Baked potato
R_29uHV5SxIkUue0F,958,Mango,Donuts,Donuts,Mango
R_1QDV3ILOBfgzzTt,958,Mango,Donuts,Donuts,Mango
R_WqDgUBWdu4CGJK9,959,Mango,Smoked salmon,Mango,Smoked salmon
R_YPOhTjyQRcO2nCh,960,Avocado,Carrot,Carrot,Avocado
R_1gcHUMJSMBDYK37,960,Avocado,Carrot,Avocado,Carrot
R_1E7q3tAX7YA2OGS,960,Avocado,Carrot,Carrot,Avocado
R_1QDV3ILOBfgzzTt,960,Avocado,Carrot,Carrot,Avocado
R_29uHV5SxIkUue0F,961,Rice,Honey,Rice,Honey
R_1AI8UDadY9DFYVH,961,Rice,Honey,Rice,Honey
R_2WYFT6lzUNiBSge,962,Bread,Burrito,Bread,Burrito
R_YPOhTjyQRcO2nCh,964,Blueberries,Dates,Blueberries,Dates
R_27e4sDJjLhQldHU,964,Blueberries,Dates,Dates,Blueberries
R_2WYFT6lzUNiBSge,965,Spinach,Peas,Spinach,Peas
R_1E7q3tAX7YA2OGS,965,Spinach,Peas,Peas,Spinach
R_1E7q3tAX7YA2OGS,967,Tacos,Mango,Mango,Tacos
R_27e4sDJjLhQldHU,969,Tacos,Grapes,Tacos,Grapes
R_24I7vRLU8vsU2NZ,969,Tacos,Grapes,Tacos,Grapes
R_1AI8UDadY9DFYVH,970,Carrot,Tomato,Carrot,Tomato
R_29uHV5SxIkUue0F,970,Carrot,Tomato,Tomato,Carrot
R_WqDgUBWdu4CGJK9,971,Apple pie,Apple,Apple,Apple pie
R_YPOhTjyQRcO2nCh,973,Grapes,Honey,Honey,Grapes
R_1E7q3tAX7YA2OGS,973,Grapes,Honey,Honey,Grapes
R_1AI8UDadY9DFYVH,977,Guacamole,Crisps/chips,Crisps/chips,Guacamole
R_1AI8UDadY9DFYVH,979,Crisps/chips,Carrot,Crisps/chips,Carrot
R_24I7vRLU8vsU2NZ,979,Crisps/chips,Carrot,Crisps/chips,Carrot
R_1E7q3tAX7YA2OGS,979,Crisps/chips,Carrot,Crisps/chips,Carrot
R_1gcHUMJSMBDYK37,980,Steak,Mac n cheese,Steak,Mac n cheese
R_1AI8UDadY9DFYVH,980,Steak,Mac n cheese,Mac n cheese,Steak
R_2WYFT6lzUNiBSge,980,Steak,Mac n cheese,Mac n cheese,Steak
R_YPOhTjyQRcO2nCh,981,Chicken nugges,Pepperoni,Chicken nugges,Pepperoni
R_2BhV7cLPuQAVLqC,981,Chicken nugges,Pepperoni,Chicken nugges,Pepperoni
R_1QDV3ILOBfgzzTt,983,Courgette,Peach,Peach,Courgette
R_1AI8UDadY9DFYVH,985,Crisps/chips,Cashew nuts,Crisps/chips,Cashew nuts
R_29uHV5SxIkUue0F,985,Crisps/chips,Cashew nuts,Crisps/chips,Cashew nuts
R_YPOhTjyQRcO2nCh,985,Crisps/chips,Cashew nuts,Crisps/chips,Cashew nuts
R_2BhV7cLPuQAVLqC,987,Bread,Butternut squash,Butternut squash,Bread
R_2WYFT6lzUNiBSge,989,Mushroom,Victoria sponge cake,Victoria sponge cake,Mushroom
R_24I7vRLU8vsU2NZ,990,Boiled egg,Tomato,Boiled egg,Tomato
R_WqDgUBWdu4CGJK9,990,Boiled egg,Tomato,Tomato,Boiled egg
R_2WYFT6lzUNiBSge,991,Mac n cheese,Banana,Banana,Mac n cheese
R_24I7vRLU8vsU2NZ,992,Carrot cake,Grapes,Carrot cake,Grapes
R_1AI8UDadY9DFYVH,993,Apple pie,Coconut,Apple pie,Coconut
R_1gcHUMJSMBDYK37,994,Orange,Milk chocolate,Milk chocolate,Orange
R_24I7vRLU8vsU2NZ,994,Orange,Milk chocolate,Milk chocolate,Orange
R_27e4sDJjLhQldHU,996,Yogurt,Chicken nugges,Chicken nugges,Yogurt
R_2WYFT6lzUNiBSge,996,Yogurt,Chicken nugges,Yogurt,Chicken nugges
R_1AI8UDadY9DFYVH,996,Yogurt,Chicken nugges,Chicken nugges,Yogurt
R_3P5NwddgGf4YWfk,996,Yogurt,Chicken nugges,Yogurt,Chicken nugges
R_22P14vqjBcocmQt,997,Yogurt,Rice,Yogurt,Rice
R_1AI8UDadY9DFYVH,998,Nachos,Donuts,Nachos,Donuts
R_2BhV7cLPuQAVLqC,998,Nachos,Donuts,Donuts,Nachos
R_1gcHUMJSMBDYK37,998,Nachos,Donuts,Donuts,Nachos
R_2BhV7cLPuQAVLqC,999,Cashew nuts,Victoria sponge cake,Victoria sponge cake,Cashew nuts
R_3P5NwddgGf4YWfk,999,Cashew nuts,Victoria sponge cake,Victoria sponge cake,Cashew nuts
R_1E7q3tAX7YA2OGS,999,Cashew nuts,Victoria sponge cake,Victoria sponge cake,Cashew nuts
R_22P14vqjBcocmQt,1000,Chicken nugges,Pizza,Pizza,Chicken nugges
R_29uHV5SxIkUue0F,1000,Chicken nugges,Pizza,Pizza,Chicken nugges
R_YPOhTjyQRcO2nCh,1000,Chicken nugges,Pizza,Pizza,Chicken nugges
R_1QDV3ILOBfgzzTt,1002,Apple,Corn,Apple,Corn
R_YPOhTjyQRcO2nCh,1003,Fried eggs,Cookies/biscuits,Fried eggs,Cookies/biscuits
R_1AI8UDadY9DFYVH,1003,Fried eggs,Cookies/biscuits,Fried eggs,Cookies/biscuits
R_2WYFT6lzUNiBSge,1004,Courgette,Fried eggs,Fried eggs,Courgette
R_1E7q3tAX7YA2OGS,1004,Courgette,Fried eggs,Courgette,Fried eggs
R_WqDgUBWdu4CGJK9,1005,Fried eggs,Cabbage,Fried eggs,Cabbage
R_1AI8UDadY9DFYVH,1008,Crepes,Pulled pork,Crepes,Pulled pork
R_22P14vqjBcocmQt,1009,Tacos,Boiled egg,Tacos,Boiled egg
R_3P5NwddgGf4YWfk,1009,Tacos,Boiled egg,Boiled egg,Tacos
R_29uHV5SxIkUue0F,1009,Tacos,Boiled egg,Tacos,Boiled egg
R_22P14vqjBcocmQt,1011,Sausage,Pancakes,Sausage,Pancakes
R_WqDgUBWdu4CGJK9,1011,Sausage,Pancakes,Pancakes,Sausage
R_1QDV3ILOBfgzzTt,1014,Cheesecake,Marmite/vegemite,Cheesecake,Marmite/vegemite
R_1gcHUMJSMBDYK37,1015,Donuts,Blueberries,Donuts,Blueberries
R_27e4sDJjLhQldHU,1018,Yogurt,Noodles,Yogurt,Noodles
R_24I7vRLU8vsU2NZ,1023,Burrito,Brocolli,Burrito,Brocolli
R_2YM7YiqsbGCICZU,1025,Peanuts,Melon,Melon,Peanuts
R_272aTqDlvnhXBDO,1025,Peanuts,Melon,Melon,Peanuts
R_3DwkscGMzYdeFU0,1025,Peanuts,Melon,Melon,Peanuts
R_28NXfFkVUHPfBtb,1026,Raspberries,Mushroom,Raspberries,Mushroom
R_3dZjBVzOK35P5uQ,1026,Raspberries,Mushroom,Raspberries,Mushroom
R_1pYAdm4pt90FgIN,1026,Raspberries,Mushroom,Mushroom,Raspberries
R_1pYAdm4pt90FgIN,1027,Chips/fries,Bacon,Bacon,Chips/fries
R_6Q1mJHBSgCDyVAR,1027,Chips/fries,Bacon,Chips/fries,Bacon
R_3DwkscGMzYdeFU0,1028,Pancakes,Chocolate chip muffin,Chocolate chip muffin,Pancakes
R_1jPQsBA3FZuhiQl,1028,Pancakes,Chocolate chip muffin,Pancakes,Chocolate chip muffin
R_2YM7YiqsbGCICZU,1029,Mango,Hummus,Mango,Hummus
R_1pYAdm4pt90FgIN,1029,Mango,Hummus,Mango,Hummus
R_3dZjBVzOK35P5uQ,1030,Burrito,Marmite/vegemite,Marmite/vegemite,Burrito
R_3nACSy8jykq5gRt,1031,Coconut,Dates,Dates,Coconut
R_3DwkscGMzYdeFU0,1031,Coconut,Dates,Coconut,Dates
R_3FWobjdGFpfN5Y2,1032,Boiled egg,Crisps/chips,Crisps/chips,Boiled egg
R_3dZjBVzOK35P5uQ,1033,Peanuts,Kiwi,Peanuts,Kiwi
R_6Q1mJHBSgCDyVAR,1034,Cheddar cheese,Peas,Cheddar cheese,Peas
R_3gOCG9dynrw3PiX,1034,Cheddar cheese,Peas,Cheddar cheese,Peas
R_272aTqDlvnhXBDO,1034,Cheddar cheese,Peas,Cheddar cheese,Peas
R_1jPQsBA3FZuhiQl,1036,Rice,Tomato,Tomato,Rice
R_1E3QWFf5JEmiYOD,1037,Carrot,Carrot cake,Carrot cake,Carrot
R_3dZjBVzOK35P5uQ,1037,Carrot,Carrot cake,Carrot,Carrot cake
R_3dZjBVzOK35P5uQ,1039,Scrambled egg,Blueberries,Blueberries,Scrambled egg
R_3gOCG9dynrw3PiX,1039,Scrambled egg,Blueberries,Scrambled egg,Blueberries
R_3FWobjdGFpfN5Y2,1040,Soup,Apple pie,Apple pie,Soup
R_1jPQsBA3FZuhiQl,1040,Soup,Apple pie,Apple pie,Soup
R_3DwkscGMzYdeFU0,1041,Sushi,Soup,Soup,Sushi
R_3nACSy8jykq5gRt,1042,Soup,Courgette,Courgette,Soup
R_6Q1mJHBSgCDyVAR,1042,Soup,Courgette,Soup,Courgette
R_1jPQsBA3FZuhiQl,1042,Soup,Courgette,Soup,Courgette
R_3IZdeGOWF0PnRTY,1042,Soup,Courgette,Soup,Courgette
R_3gOCG9dynrw3PiX,1042,Soup,Courgette,Soup,Courgette
R_3dZjBVzOK35P5uQ,1044,Tacos,Peach,Tacos,Peach
R_3DwkscGMzYdeFU0,1045,Aubergine,Tacos,Tacos,Aubergine
R_2YM7YiqsbGCICZU,1046,Cookies/biscuits,Donuts,Cookies/biscuits,Donuts
R_1pYAdm4pt90FgIN,1048,Blue cheese,Soup,Blue cheese,Soup
R_3FWobjdGFpfN5Y2,1049,Apple,Smoked salmon,Smoked salmon,Apple
R_3nACSy8jykq5gRt,1050,Melon,Crisps/chips,Crisps/chips,Melon
R_2YM7YiqsbGCICZU,1050,Melon,Crisps/chips,Melon,Crisps/chips
R_28NXfFkVUHPfBtb,1053,Coconut,Peach,Peach,Coconut
R_3nACSy8jykq5gRt,1053,Coconut,Peach,Peach,Coconut
R_1pYAdm4pt90FgIN,1053,Coconut,Peach,Peach,Coconut
R_3FWobjdGFpfN5Y2,1053,Coconut,Peach,Peach,Coconut
R_1pYAdm4pt90FgIN,1054,Sausage,Apple pie,Apple pie,Sausage
R_2zqNaUXDmWxfEjW,1054,Sausage,Apple pie,Apple pie,Sausage
R_3DwkscGMzYdeFU0,1055,Oysters,Pasta,Pasta,Oysters
R_3IZdeGOWF0PnRTY,1056,Bacon,Pepperoni,Bacon,Pepperoni
R_3FWobjdGFpfN5Y2,1056,Bacon,Pepperoni,Bacon,Pepperoni
R_2YM7YiqsbGCICZU,1057,Sushi,Cashew nuts,Cashew nuts,Sushi
R_2YM7YiqsbGCICZU,1058,Poached egg,Prawns,Prawns,Poached egg
R_1jPQsBA3FZuhiQl,1059,Pulled pork,Chips/fries,Pulled pork,Chips/fries
R_3FWobjdGFpfN5Y2,1059,Pulled pork,Chips/fries,Chips/fries,Pulled pork
R_2YM7YiqsbGCICZU,1059,Pulled pork,Chips/fries,Chips/fries,Pulled pork
R_272aTqDlvnhXBDO,1059,Pulled pork,Chips/fries,Chips/fries,Pulled pork
R_6Q1mJHBSgCDyVAR,1060,Burrito,Crepes,Burrito,Crepes
R_2zqNaUXDmWxfEjW,1060,Burrito,Crepes,Burrito,Crepes
R_1ozsiLu47auBtnX,1060,Burrito,Crepes,Burrito,Crepes
R_3gOCG9dynrw3PiX,1060,Burrito,Crepes,Burrito,Crepes
R_6Q1mJHBSgCDyVAR,1061,Blue cheese,Fried eggs,Fried eggs,Blue cheese
R_3DwkscGMzYdeFU0,1062,Brocolli,Sushi,Sushi,Brocolli
R_2YM7YiqsbGCICZU,1062,Brocolli,Sushi,Sushi,Brocolli
R_2YM7YiqsbGCICZU,1063,Falafel,Oysters,Falafel,Oysters
R_1E3QWFf5JEmiYOD,1063,Falafel,Oysters,Falafel,Oysters
R_272aTqDlvnhXBDO,1064,Apple,Onion,Apple,Onion
R_3nACSy8jykq5gRt,1064,Apple,Onion,Apple,Onion
R_3IZdeGOWF0PnRTY,1064,Apple,Onion,Apple,Onion
R_2YM7YiqsbGCICZU,1065,Crisps/chips,Bread,Crisps/chips,Bread
R_1ozsiLu47auBtnX,1067,Roast chicken,Scrambled egg,Roast chicken,Scrambled egg
R_1pYAdm4pt90FgIN,1069,Ice cream,Carrot cake,Ice cream,Carrot cake
R_28NXfFkVUHPfBtb,1069,Ice cream,Carrot cake,Ice cream,Carrot cake
R_2YM7YiqsbGCICZU,1071,Sweet potatoes,Lamb,Sweet potatoes,Lamb
R_28NXfFkVUHPfBtb,1072,Fried eggs,Soup,Fried eggs,Soup
R_1jPQsBA3FZuhiQl,1072,Fried eggs,Soup,Fried eggs,Soup
R_6Q1mJHBSgCDyVAR,1072,Fried eggs,Soup,Fried eggs,Soup
R_2zqNaUXDmWxfEjW,1074,Chocolate chip muffin,Carrot,Chocolate chip muffin,Carrot
R_6Q1mJHBSgCDyVAR,1074,Chocolate chip muffin,Carrot,Chocolate chip muffin,Carrot
R_1E3QWFf5JEmiYOD,1075,Grapes,Rocket/arugula ,Grapes,Rocket/arugula 
R_272aTqDlvnhXBDO,1076,Cabbage,Rocket/arugula ,Rocket/arugula ,Cabbage
R_3IZdeGOWF0PnRTY,1077,Grapes,Pizza,Pizza,Grapes
R_3DwkscGMzYdeFU0,1077,Grapes,Pizza,Pizza,Grapes
R_2YM7YiqsbGCICZU,1078,Roast chicken,Kiwi,Kiwi,Roast chicken
R_3gOCG9dynrw3PiX,1078,Roast chicken,Kiwi,Kiwi,Roast chicken
R_28NXfFkVUHPfBtb,1078,Roast chicken,Kiwi,Roast chicken,Kiwi
R_2zqNaUXDmWxfEjW,1079,Corn,Guacamole,Guacamole,Corn
R_1pYAdm4pt90FgIN,1079,Corn,Guacamole,Guacamole,Corn
R_3IZdeGOWF0PnRTY,1080,Gingerbread,Mango,Mango,Gingerbread
R_1ozsiLu47auBtnX,1080,Gingerbread,Mango,Gingerbread,Mango
R_3DwkscGMzYdeFU0,1081,Sausage,Cookies/biscuits,Cookies/biscuits,Sausage
R_3dZjBVzOK35P5uQ,1081,Sausage,Cookies/biscuits,Sausage,Cookies/biscuits
R_6Q1mJHBSgCDyVAR,1082,Courgette,Prawns,Prawns,Courgette
R_3gOCG9dynrw3PiX,1082,Courgette,Prawns,Prawns,Courgette
R_3IZdeGOWF0PnRTY,1083,Chicken nugges,Burrito,Burrito,Chicken nugges
R_3IZdeGOWF0PnRTY,1084,Pasta,Yogurt,Pasta,Yogurt
R_28NXfFkVUHPfBtb,1084,Pasta,Yogurt,Pasta,Yogurt
R_272aTqDlvnhXBDO,1085,Brocolli,Blueberries,Blueberries,Brocolli
R_2YM7YiqsbGCICZU,1085,Brocolli,Blueberries,Blueberries,Brocolli
R_1jPQsBA3FZuhiQl,1086,Carrot,Donuts,Donuts,Carrot
R_1E3QWFf5JEmiYOD,1087,Baked beans,Steak,Baked beans,Steak
R_3nACSy8jykq5gRt,1087,Baked beans,Steak,Baked beans,Steak
R_1ozsiLu47auBtnX,1088,Burrito,Peanuts,Peanuts,Burrito
R_1jPQsBA3FZuhiQl,1088,Burrito,Peanuts,Peanuts,Burrito
R_2zqNaUXDmWxfEjW,1088,Burrito,Peanuts,Burrito,Peanuts
R_1ozsiLu47auBtnX,1089,Butternut squash,Cookies/biscuits,Butternut squash,Cookies/biscuits
R_1jPQsBA3FZuhiQl,1089,Butternut squash,Cookies/biscuits,Cookies/biscuits,Butternut squash
R_1pYAdm4pt90FgIN,1091,Yogurt,Ice cream,Ice cream,Yogurt
R_3IZdeGOWF0PnRTY,1091,Yogurt,Ice cream,Ice cream,Yogurt
R_3gOCG9dynrw3PiX,1091,Yogurt,Ice cream,Yogurt,Ice cream
R_6Q1mJHBSgCDyVAR,1091,Yogurt,Ice cream,Ice cream,Yogurt
R_1E3QWFf5JEmiYOD,1093,Sushi,Baked potato,Sushi,Baked potato
R_6Q1mJHBSgCDyVAR,1094,Granola,Brocolli,Granola,Brocolli
R_1E3QWFf5JEmiYOD,1094,Granola,Brocolli,Granola,Brocolli
R_3DwkscGMzYdeFU0,1095,Onion,Pancakes,Pancakes,Onion
R_1E3QWFf5JEmiYOD,1095,Onion,Pancakes,Pancakes,Onion
R_2zqNaUXDmWxfEjW,1095,Onion,Pancakes,Onion,Pancakes
R_3FWobjdGFpfN5Y2,1096,Chips/fries,Fried eggs,Chips/fries,Fried eggs
R_3nACSy8jykq5gRt,1096,Chips/fries,Fried eggs,Fried eggs,Chips/fries
R_3nACSy8jykq5gRt,1097,Popcorn,Soup,Popcorn,Soup
R_1jPQsBA3FZuhiQl,1098,Honey,Dates,Honey,Dates
R_2zqNaUXDmWxfEjW,1101,Peanuts,Onion,Peanuts,Onion
R_28NXfFkVUHPfBtb,1101,Peanuts,Onion,Peanuts,Onion
R_1pYAdm4pt90FgIN,1102,Blue cheese,Sprouts,Blue cheese,Sprouts
R_6Q1mJHBSgCDyVAR,1102,Blue cheese,Sprouts,Blue cheese,Sprouts
R_28NXfFkVUHPfBtb,1103,Onion,Corn,Onion,Corn
R_28NXfFkVUHPfBtb,1104,Tacos,Poached egg,Tacos,Poached egg
R_3gOCG9dynrw3PiX,1105,Aubergine,Orange,Orange,Aubergine
R_1E3QWFf5JEmiYOD,1106,Brownies,Peanuts,Peanuts,Brownies
R_1pYAdm4pt90FgIN,1106,Brownies,Peanuts,Brownies,Peanuts
R_1pYAdm4pt90FgIN,1107,Corn,Burger,Burger,Corn
R_6Q1mJHBSgCDyVAR,1108,Carrot cake,Brocolli,Carrot cake,Brocolli
R_2zqNaUXDmWxfEjW,1108,Carrot cake,Brocolli,Carrot cake,Brocolli
R_3IZdeGOWF0PnRTY,1108,Carrot cake,Brocolli,Carrot cake,Brocolli
R_1jPQsBA3FZuhiQl,1110,Corn,Popcorn,Popcorn,Corn
R_3gOCG9dynrw3PiX,1110,Corn,Popcorn,Popcorn,Corn
R_2YM7YiqsbGCICZU,1110,Corn,Popcorn,Popcorn,Corn
R_3FWobjdGFpfN5Y2,1110,Corn,Popcorn,Popcorn,Corn
R_3DwkscGMzYdeFU0,1110,Corn,Popcorn,Popcorn,Corn
R_3FWobjdGFpfN5Y2,1111,Cheddar cheese,Cookies/biscuits,Cookies/biscuits,Cheddar cheese
R_3dZjBVzOK35P5uQ,1113,Grapes,Peanuts,Grapes,Peanuts
R_1ozsiLu47auBtnX,1114,Prawns,Corn,Corn,Prawns
R_1ozsiLu47auBtnX,1115,Granola,Sweet potatoes,Sweet potatoes,Granola
R_1E3QWFf5JEmiYOD,1117,Peach,Kidney beans,Kidney beans,Peach
R_2zqNaUXDmWxfEjW,1118,Ham,Tomato,Ham,Tomato
R_3gOCG9dynrw3PiX,1118,Ham,Tomato,Tomato,Ham
R_3FWobjdGFpfN5Y2,1119,Guacamole,Roast chicken,Guacamole,Roast chicken
R_2zqNaUXDmWxfEjW,1120,Avocado,Sausage,Sausage,Avocado
R_3dZjBVzOK35P5uQ,1120,Avocado,Sausage,Avocado,Sausage
R_28NXfFkVUHPfBtb,1121,Steak,Burrito,Burrito,Steak
R_3nACSy8jykq5gRt,1121,Steak,Burrito,Burrito,Steak
R_2zqNaUXDmWxfEjW,1122,Pizza,Baked potato,Pizza,Baked potato
R_2YM7YiqsbGCICZU,1123,Milk chocolate,Bacon,Milk chocolate,Bacon
R_3FWobjdGFpfN5Y2,1125,Sweet potatoes,Rocket/arugula ,Rocket/arugula ,Sweet potatoes
R_1jPQsBA3FZuhiQl,1126,Onion rings,Guacamole,Onion rings,Guacamole
R_2YM7YiqsbGCICZU,1126,Onion rings,Guacamole,Onion rings,Guacamole
R_1ozsiLu47auBtnX,1128,Honey,Apple pie,Apple pie,Honey
R_3DwkscGMzYdeFU0,1128,Honey,Apple pie,Apple pie,Honey
R_6Q1mJHBSgCDyVAR,1129,Sprouts,Cheesecake,Cheesecake,Sprouts
R_3nACSy8jykq5gRt,1130,Baked potato,Lamb,Lamb,Baked potato
R_272aTqDlvnhXBDO,1130,Baked potato,Lamb,Baked potato,Lamb
R_2zqNaUXDmWxfEjW,1130,Baked potato,Lamb,Lamb,Baked potato
R_1pYAdm4pt90FgIN,1131,Burrito,Rocket/arugula ,Burrito,Rocket/arugula 
R_2zqNaUXDmWxfEjW,1132,Avocado,Steak,Steak,Avocado
R_272aTqDlvnhXBDO,1133,Ice cream,Aubergine,Ice cream,Aubergine
R_3gOCG9dynrw3PiX,1134,Rice,Poached egg,Poached egg,Rice
R_3DwkscGMzYdeFU0,1135,Lamb,Pepperoni,Pepperoni,Lamb
R_1E3QWFf5JEmiYOD,1135,Lamb,Pepperoni,Lamb,Pepperoni
R_28NXfFkVUHPfBtb,1135,Lamb,Pepperoni,Pepperoni,Lamb
R_1pYAdm4pt90FgIN,1136,Strawberries,Yogurt,Strawberries,Yogurt
R_3FWobjdGFpfN5Y2,1137,Mushroom,Orange,Mushroom,Orange
R_3FWobjdGFpfN5Y2,1138,Peanuts,Butternut squash,Peanuts,Butternut squash
R_3IZdeGOWF0PnRTY,1139,Yogurt,Smoked salmon,Yogurt,Smoked salmon
R_3DwkscGMzYdeFU0,1140,Hummus,Chicken nugges,Chicken nugges,Hummus
R_2zqNaUXDmWxfEjW,1140,Hummus,Chicken nugges,Hummus,Chicken nugges
R_272aTqDlvnhXBDO,1140,Hummus,Chicken nugges,Hummus,Chicken nugges
R_2zqNaUXDmWxfEjW,1141,Burger,Blue cheese,Burger,Blue cheese
R_28NXfFkVUHPfBtb,1143,Sushi,Brownies,Brownies,Sushi
R_3gOCG9dynrw3PiX,1143,Sushi,Brownies,Sushi,Brownies
R_1jPQsBA3FZuhiQl,1143,Sushi,Brownies,Brownies,Sushi
R_3FWobjdGFpfN5Y2,1144,Oysters,Pulled pork,Oysters,Pulled pork
R_2zqNaUXDmWxfEjW,1144,Oysters,Pulled pork,Pulled pork,Oysters
R_1ozsiLu47auBtnX,1145,Peach,Butternut squash,Peach,Butternut squash
R_2zqNaUXDmWxfEjW,1146,Brocolli,Courgette,Brocolli,Courgette
R_1pYAdm4pt90FgIN,1146,Brocolli,Courgette,Courgette,Brocolli
R_3IZdeGOWF0PnRTY,1146,Brocolli,Courgette,Courgette,Brocolli
R_3DwkscGMzYdeFU0,1147,Guacamole,Cheddar cheese,Cheddar cheese,Guacamole
R_2zqNaUXDmWxfEjW,1147,Guacamole,Cheddar cheese,Guacamole,Cheddar cheese
R_3nACSy8jykq5gRt,1147,Guacamole,Cheddar cheese,Guacamole,Cheddar cheese
R_28NXfFkVUHPfBtb,1147,Guacamole,Cheddar cheese,Guacamole,Cheddar cheese
R_3IZdeGOWF0PnRTY,1147,Guacamole,Cheddar cheese,Cheddar cheese,Guacamole
R_272aTqDlvnhXBDO,1149,Falafel,Dates,Falafel,Dates
R_1pYAdm4pt90FgIN,1150,Avocado,Smoked salmon,Smoked salmon,Avocado
R_28NXfFkVUHPfBtb,1150,Avocado,Smoked salmon,Smoked salmon,Avocado
R_2zqNaUXDmWxfEjW,1151,Victoria sponge cake,Oysters,Victoria sponge cake,Oysters
